Before erosion ID,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 Connectivity,2 Connectivity,4 Connectivity,5 Connectivity
182,0.1049177,2,182,Not eroded,0,0,0,0,0,0,1,0,1,1,1
183,0.2155894,3,183,Not eroded,0,1,0,0,0,0,1,0,0,1,1
185,0.1829677,3,185,Not eroded,0,0,0,0,0,0,1,0,0,1,1
187,0.236571,0,187,Not eroded,0,1,1,1,0,0,1,1,1,1,1
188,0.08530508,4,188,Not eroded,0,0,0,0,0,0,0,0,0,1,1
189,0.1636654,4,189,Not eroded,0,0,0,0,0,0,0,0,0,1,1
190,0.09600475,0,190,Not eroded,0,0,0,0,0,0,1,1,1,1,1
191,0.2161297,4,191,Not eroded,0,1,0,0,0,0,0,0,0,1,1
192,0.06386146,0,192,Not eroded,0,0,0,0,0,0,1,1,1,1,1
193,0.05626868,3,193,Not eroded,0,0,0,0,0,0,1,0,0,1,1
194,0.13098,3,194,Not eroded,0,0,0,0,0,0,1,0,0,1,1
195,0.1515262,0,195,Not eroded,0,0,0,0,0,0,1,1,1,1,1
196,0.1164929,3,196,Not eroded,0,0,0,0,0,0,1,0,0,1,1
197,0.1783862,6,197,Not eroded,0,0,0,0,0,0,0,0,0,0,0
198,0.2526133,5,198,Not eroded,0,1,1,1,1,1,0,0,0,0,1
199,0.2162117,4,199,Not eroded,0,1,0,0,0,0,0,0,0,1,1
200,0.3052491,0,200,ERODED,1,1,1,1,1,1,1,1,1,1,1
201,0.05745001,5,201,Not eroded,0,0,0,0,0,0,0,0,0,0,1
202,0.2324863,0,202,Not eroded,0,1,1,1,0,0,1,1,1,1,1
204,0.08610693,5,204,Not eroded,0,0,0,0,0,0,0,0,0,0,1
205,0.06618102,3,205,Not eroded,0,0,0,0,0,0,1,0,0,1,1
206,0.06741375,4,206,Not eroded,0,0,0,0,0,0,0,0,0,1,1
207,0.1863357,6,207,Not eroded,0,0,0,0,0,0,0,0,0,0,0
208,0.09260302,4,208,Not eroded,0,0,0,0,0,0,0,0,0,1,1
209,0.05859599,0,209,Not eroded,0,0,0,0,0,0,1,1,1,1,1
210,0.06607201,5,210,Not eroded,0,0,0,0,0,0,0,0,0,0,1
211,0.2170289,3,211,Not eroded,0,1,0,0,0,0,1,0,0,1,1
212,0.09354653,4,212,Not eroded,0,0,0,0,0,0,0,0,0,1,1
213,0.09916009,0,213,Not eroded,0,0,0,0,0,0,1,1,1,1,1
214,0.07788759,4,214,Not eroded,0,0,0,0,0,0,0,0,0,1,1
215,0.1778936,0,215,Not eroded,0,0,0,0,0,0,1,1,1,1,1
217,0.1245559,4,217,Not eroded,0,0,0,0,0,0,0,0,0,1,1
218,0.1280008,0,218,Not eroded,0,0,0,0,0,0,1,1,1,1,1
219,0.06595395,3,219,Not eroded,0,0,0,0,0,0,1,0,0,1,1
221,0.1765764,0,221,Not eroded,0,0,0,0,0,0,1,1,1,1,1
222,0.1432655,0,222,Not eroded,0,0,0,0,0,0,1,1,1,1,1
224,0.2363797,0,224,Not eroded,0,1,1,1,0,0,1,1,1,1,1
225,0.118823,4,225,Not eroded,0,0,0,0,0,0,0,0,0,1,1
