Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location Half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity
475,1.36E-01,2.59E-01,2.92E-01,0,475,ERODED,1,1,1,1,1,1,1,1,1,1,1
477,1.06E-01,2.10E-01,2.79E-01,4,477,Not eroded,0,1,1,1,1,1,0,0,0,1,1
483,3.14E-01,1.54E-01,2.52E-01,6,483,Not eroded,0,1,1,1,1,1,0,0,0,0,0
487,2.21E-01,2.69E-01,2.86E-01,2,487,Not eroded,0,1,1,1,1,1,1,0,1,1,1
491,1.55E-01,2.00E-01,2.96E-01,4,491,Not eroded,0,1,1,1,1,1,0,0,0,1,1
492,1.75E-01,2.81E-01,3.25E-01,0,492,ERODED,1,1,1,1,1,1,1,1,1,1,1
494,1.74E-01,8.33E-02,2.64E-01,0,494,Not eroded,0,1,1,1,1,1,1,1,1,1,1
496,3.24E-01,1.56E-01,2.73E-01,0,496,Not eroded,0,1,1,1,1,1,1,1,1,1,1
498,1.79E-01,2.97E-01,2.47E-01,0,498,Not eroded,0,1,1,1,1,0,1,1,1,1,1
508,1.30E-01,5.64E-02,2.61E-01,3,508,Not eroded,0,1,1,1,1,1,1,0,0,1,1
509,1.88E-01,1.43E-01,2.99E-01,2,509,Not eroded,0,1,1,1,1,1,1,0,1,1,1
521,1.29E-01,1.27E-01,2.90E-01,4,521,Not eroded,0,1,1,1,1,1,0,0,0,1,1
523,2.16E-01,3.11E-01,2.96E-01,4,523,Not eroded,0,1,1,1,1,1,0,0,0,1,1
524,5.62E-02,7.04E-02,2.88E-01,4,524,Not eroded,0,1,1,1,1,1,0,0,0,1,1
536,1.94E-01,2.65E-01,2.96E-01,0,536,Not eroded,0,1,1,1,1,1,1,1,1,1,1
541,2.34E-01,3.24E-01,2.92E-01,0,541,Not eroded,0,1,1,1,1,1,1,1,1,1,1
545,3.14E-01,5.65E-02,2.95E-01,0,545,ERODED,1,1,1,1,1,1,1,1,1,1,1
552,1.04E-01,1.80E-01,3.02E-01,0,552,ERODED,1,1,1,1,1,1,1,1,1,1,1
560,2.80E-01,1.03E-01,3.13E-01,0,560,ERODED,1,1,1,1,1,1,1,1,1,1,1
568,2.30E-01,6.69E-02,2.41E-01,6,568,Not eroded,0,1,1,1,1,0,0,0,0,0,0
570,1.23E-01,2.56E-01,2.60E-01,0,570,Not eroded,0,1,1,1,1,1,1,1,1,1,1
571,2.81E-01,1.56E-01,3.15E-01,0,571,ERODED,1,1,1,1,1,1,1,1,1,1,1
573,1.64E-01,1.60E-01,2.60E-01,3,573,Not eroded,0,1,1,1,1,1,1,0,0,1,1
575,2.73E-01,1.24E-01,2.75E-01,3,575,Not eroded,0,1,1,1,1,1,1,0,0,1,1
576,1.97E-01,2.03E-01,2.92E-01,4,576,Not eroded,0,1,1,1,1,1,0,0,0,1,1
580,1.63E-01,2.83E-01,2.70E-01,4,580,Not eroded,0,1,1,1,1,1,0,0,0,1,1
583,1.19E-01,5.64E-02,2.74E-01,4,583,Not eroded,0,1,1,1,1,1,0,0,0,1,1
587,2.74E-01,3.21E-01,2.57E-01,0,587,Not eroded,0,1,1,1,1,1,1,1,1,1,1
590,1.23E-01,2.74E-01,3.06E-01,3,590,Not eroded,0,1,1,1,1,1,1,0,0,1,1
591,2.13E-01,1.67E-01,2.90E-01,3,591,Not eroded,0,1,1,1,1,1,1,0,0,1,1
595,1.02E-01,2.10E-01,2.66E-01,4,595,Not eroded,0,1,1,1,1,1,0,0,0,1,1
606,2.04E-01,1.10E-01,2.81E-01,0,606,Not eroded,0,1,1,1,1,1,1,1,1,1,1
611,1.29E-01,1.05E-01,2.85E-01,0,611,Not eroded,0,1,1,1,1,1,1,1,1,1,1
612,1.70E-01,1.27E-01,2.52E-01,6,612,Not eroded,0,1,1,1,1,1,0,0,0,0,0
623,1.65E-01,2.39E-01,2.96E-01,4,623,Not eroded,0,1,1,1,1,1,0,0,0,1,1
624,2.59E-01,2.11E-01,3.16E-01,0,624,ERODED,1,1,1,1,1,1,1,1,1,1,1
625,1.94E-01,1.53E-01,2.98E-01,0,625,ERODED,1,1,1,1,1,1,1,1,1,1,1
626,1.37E-01,3.15E-01,3.14E-01,0,626,ERODED,1,1,1,1,1,1,1,1,1,1,1
628,6.83E-02,3.24E-01,3.13E-01,0,628,ERODED,1,1,1,1,1,1,1,1,1,1,1
637,3.12E-01,1.74E-01,3.02E-01,0,637,ERODED,1,1,1,1,1,1,1,1,1,1,1
639,2.41E-01,2.15E-01,2.99E-01,5,639,Not eroded,0,1,1,1,1,1,0,0,0,0,1
642,3.24E-01,1.17E-01,2.48E-01,2,642,Not eroded,0,1,1,1,1,0,1,0,1,1,1
647,1.91E-01,1.68E-01,2.78E-01,4,647,Not eroded,0,1,1,1,1,1,0,0,0,1,1
650,1.79E-01,3.24E-01,2.74E-01,5,650,Not eroded,0,1,1,1,1,1,0,0,0,0,1
651,1.81E-01,5.64E-02,2.69E-01,4,651,Not eroded,0,1,1,1,1,1,0,0,0,1,1
654,1.60E-01,1.51E-01,2.58E-01,5,654,Not eroded,0,1,1,1,1,1,0,0,0,0,1
656,3.08E-01,2.08E-01,2.98E-01,0,656,ERODED,1,1,1,1,1,1,1,1,1,1,1
660,2.62E-01,1.07E-01,2.91E-01,0,660,ERODED,1,1,1,1,1,1,1,1,1,1,1
