Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,,Z location Half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,,4Connectivity,5Connectivity,2Connectivity,1Connectivity,0Connectivity
266,5.61E-02,1.54E-01,2.83E-01,3,266,Not eroded,0,0,1,1,1,1,1,2.93E-07,1.06E-07,1.08E-07,3.30E-07,1.10E-07,1,5.90E-04,1,1,0,0,0
267,9.63E-02,1.02E-01,3.13E-01,0,267,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
273,1.96E-01,2.94E-01,2.71E-01,4,273,Not eroded,0,0,1,1,1,1,1,3.92E-07,1.62E-06,-9.77E-08,1.67E-06,4.19E-07,0,2.99E-03,1,1,0,0,0
286,6.07E-02,3.22E-01,2.71E-01,0,286,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
291,2.57E-01,3.05E-01,2.41E-01,5,291,Not eroded,0,0,1,1,1,1,0,2.29E-07,-2.59E-07,1.44E-06,1.48E-06,2.97E-07,0,2.65E-03,0,1,0,0,0
292,2.82E-01,2.84E-01,2.78E-01,0,292,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
295,1.31E-01,2.28E-01,2.43E-01,4,295,Not eroded,0,0,1,1,1,1,0,3.14E-07,5.87E-07,-4.73E-08,6.68E-07,1.67E-07,0,1.19E-03,1,1,0,0,0
298,1.44E-01,2.37E-01,3.25E-01,0,298,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
299,2.19E-01,1.81E-01,2.52E-01,5,299,Not eroded,0,0,1,1,1,1,1,-1.05E-06,3.50E-07,-1.05E-06,1.52E-06,3.05E-07,0,2.72E-03,0,1,0,0,0
301,2.10E-01,1.33E-01,2.44E-01,4,301,Not eroded,0,0,1,1,1,1,0,2.63E-06,-7.73E-07,-5.54E-07,2.80E-06,6.99E-07,0,5.01E-03,1,1,0,0,0
306,1.48E-01,2.58E-01,2.87E-01,6,306,Not eroded,0,0,1,1,1,1,1,3.72E-07,7.65E-07,6.51E-07,1.07E-06,1.79E-07,0,1.91E-03,0,0,0,0,0
309,3.24E-01,1.53E-01,3.09E-01,0,309,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
315,9.41E-02,1.84E-01,2.90E-01,0,315,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
321,5.60E-02,2.66E-01,2.52E-01,3,321,Not eroded,0,0,1,1,1,1,1,-2.33E-07,9.46E-09,6.00E-08,2.41E-07,8.03E-08,1,4.31E-04,1,1,0,0,0
324,9.71E-02,2.30E-01,3.01E-01,0,324,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
327,2.31E-01,6.47E-02,2.70E-01,4,327,Not eroded,0,0,1,1,1,1,1,3.92E-07,-1.88E-07,-3.04E-07,5.31E-07,1.33E-07,0,9.50E-04,1,1,0,0,0
334,1.49E-01,5.61E-02,2.56E-01,4,334,Not eroded,0,0,1,1,1,1,1,6.86E-07,-9.99E-07,6.89E-08,1.21E-06,3.04E-07,0,2.16E-03,1,1,0,0,0
339,1.27E-01,1.68E-01,2.98E-01,0,339,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
