Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location half,Z location 0.21,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 Connectivity,2 Connectivity,4 Connectivity,5 Connectivity
289,1.25E-01,1.46E-01,0.2835149,3,289,Not eroded,0,1,1,1,1,1,1,1,0,0,1,1
292,1.56E-01,2.12E-01,0.2729162,0,292,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
294,1.16E-01,2.19E-01,0.3247422,0,294,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
297,9.01E-02,2.90E-01,0.2589399,0,297,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
299,6.47E-02,2.10E-01,0.3208476,0,299,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
304,1.12E-01,2.76E-01,0.2591875,0,304,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
307,1.99E-01,6.91E-02,0.287583,3,307,Not eroded,0,1,1,1,1,1,1,1,0,0,1,1
311,1.83E-01,1.02E-01,0.2205902,0,311,Not eroded,0,1,1,1,0,0,0,1,1,1,1,1
314,2.67E-01,3.01E-01,0.2476576,4,314,Not eroded,0,1,1,1,1,1,0,0,0,0,1,1
324,5.65E-02,1.18E-01,0.2792132,3,324,Not eroded,0,1,1,1,1,1,1,1,0,0,1,1
326,2.06E-01,3.24E-01,0.2120198,3,326,Not eroded,0,1,1,0,0,0,0,1,0,0,1,1
329,2.03E-01,9.16E-02,0.2489263,3,329,Not eroded,0,1,1,1,1,1,0,1,0,0,1,1
331,8.98E-02,3.08E-01,0.2191062,4,331,Not eroded,0,1,1,0,0,0,0,0,0,0,1,1
333,2.62E-01,6.45E-02,0.2560103,0,333,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
338,2.51E-01,5.59E-02,0.2651377,2,338,Not eroded,0,1,1,1,1,1,1,1,0,1,1,1
347,1.88E-01,3.24E-01,0.2398509,0,347,ERODED,1,1,1,1,1,0,0,1,1,1,1,1
348,3.24E-01,1.81E-01,0.2925694,0,348,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
349,2.26E-01,1.63E-01,0.2352175,0,349,Not eroded,0,1,1,1,1,0,0,1,1,1,1,1
357,2.95E-01,1.15E-01,0.2359694,0,357,Not eroded,0,1,1,1,1,0,0,1,1,1,1,1
360,1.98E-01,1.71E-01,0.2885415,5,360,Not eroded,0,1,1,1,1,1,1,0,0,0,0,1
361,1.63E-01,3.08E-01,0.2468447,0,361,ERODED,1,1,1,1,1,1,0,1,1,1,1,1
362,2.82E-01,1.94E-01,0.2708963,4,362,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
364,1.19E-01,2.97E-01,0.2100955,3,364,Not eroded,0,1,1,0,0,0,0,1,0,0,1,1
366,2.88E-01,8.88E-02,0.2360663,0,366,Not eroded,0,1,1,1,1,0,0,1,1,1,1,1
